X,Y,Z
5768.317857,976.5595665,946.5163271
6238.497023,1095.983565,946.5163271
6639.106561,1293.455999,946.5163271
6780.765325,1419.763642,946.5163271
6922.056906,1454.797107,946.5163271
7074.426193,1387.862301,946.5163271
7259.335824,1320.145375,946.5163271
7379.519665,1306.673315,946.5163271
7590.280897,1279.153441,946.5163271
7783.624431,1263.73963,946.5163271
7812.9359,1594.24492,946.5163271
7655.586241,1591.011539,946.5163271
7481.746587,1676.229632,946.5163271
7311.526865,1602.691448,946.5163271
7093.092333,1653.874103,946.5163271
6951.032325,1554.87275,946.5163271
6793.581977,1459.112096,946.5163271
6623.808947,1385.379826,946.5163271
6443.458898,1353.88898,946.5163271
6284.231517,1416.194649,946.5163271
6092.018656,1287.138935,946.5163271
5857.803749,1256.530405,946.5163271
8138.861559,1735.924261,946.5163271
7989.018472,1697.151714,946.5163271
7850.476888,1677.015253,946.5163271
7691.69824,1692.572804,946.5163271
6013.860335,1052.561588,946.5163271
6447.157326,1258.302724,946.5163271
